Time Stamp,f_x,f_y,f_z,w_x,w_y,w_z
61930.35,0.618817645,0.757353364,9.671123772,0.00335516,-0.001053221,-0.001202351
61930.55,0.618764831,0.769280961,9.671541617,0.003193789,-0.001100248,-0.001165822
61930.75,0.618667668,0.766939033,9.672441453,0.002996775,-0.001152405,-0.001119665
61930.95,0.618523563,0.747140637,9.673858232,0.002761737,-0.001209973,-0.001063209
61931.15,0.618334634,0.693165633,9.675699173,0.002498618,-0.001272281,-0.00099968
61931.35,0.618130108,0.618755754,9.67789334,0.002215663,-0.001338574,-0.000925617
61931.55,0.618016214,0.55951922,9.679988397,0.001956175,-0.001404936,-0.000836265
61931.75,0.618027915,0.523987138,9.681841107,0.001735112,-0.001470076,-0.000729803
61931.95,0.618164462,0.514763027,9.683516516,0.00154835,-0.001534381,-0.000603769
61932.15,0.61845765,0.537857042,9.684880767,0.001409853,-0.001596663,-0.0004567
61932.35,0.618861241,0.563965006,9.686103841,0.001305059,-0.001658441,-0.000291879
61932.55,0.619392961,0.595576419,9.687128008,0.001241089,-0.001719138,-0.000107806
61932.75,0.620123834,0.656416714,9.687671378,0.001246092,-0.001776224,9.96E-05
61932.95,0.621028823,0.733322277,9.687870991,0.001308646,-0.001830827,0.000330197
61933.15,0.622035531,0.804136899,9.688134032,0.001391601,-0.001886348,0.00058425
61933.35,0.623140521,0.864958999,9.688513573,0.001491508,-0.001943166,0.000862961
61933.55,0.624347932,0.909706613,9.688996564,0.001611349,-0.002001123,0.001166638
61933.75,0.625661867,0.937081476,9.689604311,0.001750823,-0.002060311,0.001496882
61933.95,0.62717873,0.974230029,9.689910403,0.001952319,-0.00211695,0.001857652
61934.15,0.628910846,1.020591104,9.689887128,0.002220292,-0.002170717,0.00225041
61934.35,0.630818204,1.060286902,9.689768714,0.002534262,-0.002223539,0.00267558
61934.55,0.632897574,1.097801938,9.689502978,0.002887355,-0.002269432,0.003103899
61934.75,0.635051492,1.126575645,9.689280223,0.003222216,-0.002293649,0.003442545
61934.95,0.637249981,1.14338454,9.689172208,0.003519178,-0.002290851,0.003659302
61935.15,0.639520766,1.154733744,9.689064651,0.003788272,-0.002258816,0.003750051
61935.35,0.641834786,1.158477254,9.689036487,0.004010718,-0.002192856,0.00368593
61935.55,0.644221186,1.153905519,9.689121139,0.004202693,-0.002100004,0.003507669
61935.75,0.646670946,1.141962118,9.689339322,0.004355741,-0.001976926,0.003197478
61935.95,0.649127763,1.120904306,9.689783823,0.004434104,-0.001812797,0.002690817
61936.15,0.651626865,1.08916833,9.690386368,0.00445449,-0.001610082,0.002007857
61936.35,0.654276741,1.042252325,9.690851032,0.004472741,-0.001376155,0.001209044
61936.55,0.657096473,0.978151317,9.691123582,0.004495772,-0.001110217,0.000295198
61936.75,0.660083255,0.896801426,9.691240482,0.004519356,-0.00081125,-0.000738869
61936.95,0.663249431,0.796969452,9.690847073,0.004546318,-0.000477323,-0.001899283
61937.15,0.666499404,0.681243416,9.689227111,0.004519337,-9.48E-05,-0.00327304
61937.35,0.669831779,0.5491343,9.689217157,0.004433869,0.000339096,-0.004873283
61937.55,0.673309875,0.397680337,9.700089531,0.004321059,0.000820652,-0.006667547
61937.75,0.676811619,0.23593756,9.70920886,0.004179235,0.001327321,-0.008592194
61937.95,0.680041186,0.08979128,9.670272997,0.004050663,0.001777567,-0.010374372
61938.15,0.682897844,-0.032002304,9.626822836,0.003950803,0.002143705,-0.011922269
61938.35,0.685337088,-0.127228584,9.743937161,0.003865132,0.002425856,-0.013249798
61938.55,0.68727248,-0.199300718,9.787742357,0.003809316,0.002599028,-0.014272926
61938.75,0.688865006,-0.294533198,9.533098401,0.003779892,0.002698008,-0.015099888
61938.95,0.690054353,-0.419871774,9.7712638,0.003782783,0.002708482,-0.015686056
61939.15,0.690624802,-0.559086588,9.688118011,0.003842289,0.002575111,-0.015850908
61939.35,0.690634104,-0.70886325,9.740780856,0.003945009,0.002317559,-0.015665232
61939.55,0.690230396,-0.811758741,9.648626155,0.004039036,0.001994362,-0.015344105
61939.75,0.689402989,-0.853325525,9.554835624,0.004116473,0.001608583,-0.014904888
61939.95,0.688142569,-0.851840528,9.814101832,0.004182911,0.0011563,-0.014334246
61940.15,0.686415542,-0.795109792,9.912796927,0.004233329,0.000634522,-0.013629535
61940.35,0.683955439,-0.709867012,9.358895513,0.004313444,-3.36E-05,-0.012530947
61940.55,0.680714589,-0.597031157,9.885195582,0.004425818,-0.000857818,-0.011009876
61940.75,0.676771804,-0.428841951,9.648378369,0.004541886,-0.001806043,-0.009185952
61940.95,0.672345952,-0.24812303,9.719497257,0.004666467,-0.002846704,-0.007103689
61941.15,0.668358283,-0.166606288,9.704964147,0.004778601,-0.003815401,-0.005125213
61941.35,0.665111438,-0.219307289,9.708655863,0.004868872,-0.004656978,-0.003372227
61941.55,0.662560028,-0.418943673,9.70950653,0.004948244,-0.005387467,-0.001781711
61941.75,0.660979259,-0.737297596,9.709869305,0.00500664,-0.005955629,-0.00046957
61941.95,0.659981302,-0.935016839,9.709873385,0.00503803,-0.006421031,0.000672908
61942.15,0.659709702,-0.968768786,9.709437058,0.005038432,-0.006758315,0.001594638
61942.35,0.660772048,-0.905394155,9.708281391,0.00499638,-0.006861309,0.002070789
61942.55,0.66292214,-0.714043167,9.706509754,0.004918089,-0.006775043,0.002208574
61942.75,0.665440306,-0.561278878,9.704416249,0.0048363,-0.006639875,0.002357119
