Time Stamp,Lat,Long,Alt,Azi,Pitch,Roll,Vn,Ve,Vu,Forward Speed
59663.2,43.65927855,-79.37822746,63.8722,343.0628596,0.064541848,-0.459133521,-0.0009,0.0001,0.0022,0.002379075
59663.4,43.65927855,-79.37822747,63.8751,343.0633526,0.063206856,-0.46371739,-0.0015,-0.0013,0.0008,0.002140093
59663.6,43.65927855,-79.37822747,63.8777,343.0625665,0.063849611,-0.45906109,-0.0003,0.0009,0.0025,0.002673948
59663.8,43.65927854,-79.37822748,63.8802,343.0633953,0.063908209,-0.463228951,-0.0016,-0.0015,0.0017,0.002774887
59664,43.65927854,-79.37822748,63.8825,343.0631812,0.063642001,-0.462068267,-0.0012,0.0004,0.0014,0.001886796
59664.2,43.65927854,-79.37822749,63.8847,343.0639971,0.06336594,-0.459602055,-0.001,-0.0006,0.0009,0.001473092
59664.4,43.65927854,-79.37822749,63.8867,343.0634101,0.062108421,-0.460385307,0.0008,-0.0004,0.0021,0.002282542
59664.6,43.65927853,-79.3782275,63.8886,343.063598,0.062679296,-0.460333473,-0.0006,-0.0008,0.0004,0.001077033
59664.8,43.65927853,-79.3782275,63.8903,343.0628128,0.062837365,-0.460257478,0.0007,0.0001,0.0012,0.001392839
59665,43.65927853,-79.3782275,63.892,343.0637577,0.0632381,-0.458841036,-0.0004,0.0003,-0.0003,0.000583095
59665.2,43.65927853,-79.37822751,63.8935,343.0627698,0.06253014,-0.460349815,-0.0001,-0.0003,0.0002,0.000374166
59665.4,43.65927853,-79.37822751,63.895,343.0644434,0.062920001,-0.459011545,0.0009,-0.0001,0.001,0.001349074
59665.6,43.65927852,-79.37822751,63.8964,343.060777,0.057556598,-0.464326725,-0.0003,0.0002,0.0013,0.001349074
59665.8,43.65927852,-79.37822752,63.8977,343.06604,0.063911304,-0.459904692,-0.0028,0.0016,-0.0019,0.003742993
59666,43.65927852,-79.37822752,63.899,343.0598354,0.063141406,-0.451130569,0.0006,0.0048,-0.0013,0.005008992
59666.2,43.65927852,-79.37822752,63.9002,343.0650279,0.062185593,-0.449906537,0.0026,-0.0045,-0.0002,0.005200961
